coordinates,timestamps
"[[329782.0323562365, 7402974.399761586], [329661.6348469272, 7402956.612257786], [329523.8585258529, 7402849.58994675], [329523.8585258529, 7402849.58994675], [329523.8585258529, 7402849.58994675], [329523.8585258529, 7402849.58994675]]","[0, 44, 89, 89, 89, 89]"
"[[329313.2381057313, 7402119.034074802], [329313.2381057313, 7402119.034074802], [329313.2381057313, 7402119.034074802], [329313.2381057313, 7402119.034074802], [329313.2381057313, 7402119.034074802], [329313.2381057313, 7402119.034074802]]","[0, 45, 180, 225, 315, 343]"
"[[338026.8689974869, 7404777.499971232], [338046.22604643693, 7404865.980064552], [338061.6609922116, 7404907.07180305], [338061.6609922116, 7404907.07180305], [337925.95091683907, 7405006.689604074], [337732.48273751105, 7404997.799332462]]","[0, 45, 180, 225, 270, 315]"
"[[330109.01740453683, 7402796.77218261], [329972.48049721506, 7402871.556371563], [329558.6625911442, 7402876.671716412], [329308.7303251609, 7402618.813624868], [329129.0887055722, 7402339.341115009], [329124.30010601616, 7402320.678724388]]","[0, 44, 177, 221, 310, 354]"
"[[337106.4470713989, 7403691.06507206], [337435.87870681274, 7403695.323470017], [338119.5896742698, 7403963.659586075], [338135.9847936088, 7403984.744069979], [338175.86836494366, 7404039.173471056], [338278.0020366807, 7404151.15754518]]","[0, 44, 201, 221, 310, 354]"
"[[332749.0843311832, 7403938.998788001], [332474.59496226476, 7403864.076539495], [331702.56881972717, 7403518.981078019], [331677.02956876345, 7403512.098680787], [331577.9827555101, 7403466.164014374], [331456.32653953065, 7403392.917922789]]","[0, 44, 177, 221, 272, 354]"
"[[329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786]]","[0, 45, 180, 225, 315, 360]"
"[[336361.71823339217, 7404989.468778012], [336357.96803928516, 7404977.576814166], [335750.5519255294, 7404812.484519148], [335511.5940672522, 7404826.313853741], [335191.5306177874, 7404829.193344895], [335153.7446948335, 7404827.579017893]]","[0, 44, 177, 221, 310, 355]"
"[[337112.61463396496, 7403715.304521155], [337227.56053853134, 7403728.124231699]]","[0, 45]"
"[[329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786]]","[0, 44, 177, 221, 266, 310]"
"[[350084.4933428102, 7398022.170805661], [350084.4933428102, 7398022.170805661], [350381.1936375874, 7398615.050315233], [350641.37058800494, 7398655.4395729145], [350680.65147202293, 7398706.587864548], [350650.01316051587, 7398897.197035024]]","[0, 0, 177, 221, 265, 310]"
"[[351824.6096126123, 7400239.868593123], [351777.0966345486, 7399912.296696114], [351994.94298517215, 7399423.727781258], [352212.48101163853, 7399392.436293073], [352272.7838371177, 7399217.849555805], [352272.7838371177, 7399217.849555805]]","[0, 51, 184, 228, 317, 331]"
"[[352272.7838371177, 7399217.849555805], [352272.7838371177, 7399217.849555805], [352272.7838371177, 7399217.849555805], [352272.7838371177, 7399217.849555805], [352272.7838371177, 7399217.849555805], [352272.7838371177, 7399217.849555805]]","[0, 45, 177, 222, 310, 355]"
"[[348628.42098137364, 7395843.338428291], [352272.7838371177, 7399217.849555805], [348628.42098137364, 7395843.338428291], [348628.42098137364, 7395843.338428291], [352272.7838371177, 7399217.849555805], [352272.7838371177, 7399217.849555805]]","[0, 44, 177, 221, 310, 354]"
"[[352336.0479231707, 7399223.138051486], [352336.0479231707, 7399223.138051486], [352301.98218596383, 7399345.49744563], [352109.5960516002, 7399384.145281042], [351994.94298517215, 7399423.727781258], [352017.4039146957, 7399619.207295506]]","[0, 44, 178, 222, 266, 310]"
"[[348628.42098137364, 7395843.338428291], [348569.1994942267, 7395882.981656597], [348958.15178049565, 7396079.473387456], [349278.2548185495, 7396173.194742743], [349433.30440082727, 7396289.576274803], [349577.7455366856, 7396646.2169712335]]","[0, 44, 177, 221, 310, 354]"
"[[352304.51799100847, 7399220.494866756], [352304.51799100847, 7399220.494866756], [352304.51799100847, 7399220.494866756], [352304.51799100847, 7399220.494866756], [352304.51799100847, 7399220.494866756], [352304.51799100847, 7399220.494866756]]","[0, 45, 222, 266, 312, 356]"
"[[351994.94298517215, 7399423.727781258], [352238.65023982467, 7399395.025630377], [352336.0479231707, 7399223.138051486], [352336.0479231707, 7399223.138051486], [352336.0479231707, 7399223.138051486], [352336.0479231707, 7399223.138051486]]","[0, 44, 221, 266, 310, 354]"
